timestamp,event_type,token_id,reset_time_utc8
2026-06-01 00:07:38,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-01 08:07:38
2026-06-01 00:07:54,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-01 08:07:54
2026-06-01 09:27:07,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-01 17:27:07
2026-06-01 09:27:24,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-01 17:27:24
2026-06-01 19:20:28,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-02 03:20:28
2026-06-01 19:20:45,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-02 03:20:45
2026-06-02 00:14:27,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-02 08:14:27
2026-06-02 00:14:45,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-02 08:14:45
2026-06-02 08:38:47,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-02 16:38:47
2026-06-02 08:39:05,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-02 16:39:05
2026-06-02 12:43:11,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-02 20:43:11
2026-06-02 12:43:31,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-02 20:43:31
2026-06-02 18:05:15,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-03 02:05:15
2026-06-02 18:05:35,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-03 02:05:35
2026-06-03 00:27:41,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-03 08:27:41
2026-06-03 00:27:59,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-03 08:27:59
2026-06-03 08:56:10,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-03 16:56:10
2026-06-03 08:56:28,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-03 16:56:28
2026-06-03 13:17:13,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-03 21:17:13
2026-06-03 13:17:30,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-03 21:17:30
2026-06-03 18:22:54,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-04 02:22:54
2026-06-03 18:23:12,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-04 02:23:12
2026-06-04 01:42:35,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-04 09:42:35
2026-06-04 01:42:51,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-04 09:42:51
2026-06-04 08:21:37,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-04 16:21:37
2026-06-04 08:21:56,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-04 16:21:56
2026-06-04 11:55:17,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-04 19:55:17
2026-06-04 11:55:33,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-04 19:55:33
2026-06-04 16:54:43,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-05 00:54:43
2026-06-04 16:55:01,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-05 00:55:01
2026-06-05 00:09:43,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-05 08:09:43
2026-06-05 00:10:02,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-05 08:10:02
2026-06-05 08:08:13,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-05 16:08:13
2026-06-05 08:08:31,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-05 16:08:31
2026-06-05 12:09:07,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-05 20:09:07
2026-06-05 12:09:24,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-05 20:09:24
2026-06-05 16:30:00,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-06 00:30:00
2026-06-05 16:30:19,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-06 00:30:19
2026-06-06 00:07:26,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-06 08:07:26
2026-06-06 00:07:43,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-06 08:07:43
2026-06-06 06:54:08,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-06 14:54:08
2026-06-06 06:54:25,SESSION-RESET-TRIGGER,TOKEN_2,2026-06-06 14:54:25
