timestamp,event_type,token_id,reset_time_utc8
2026-08-01 00:02:18,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-01 08:02:18
2026-08-01 00:02:35,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-01 08:02:35
2026-08-01 06:30:07,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-01 14:30:07
2026-08-01 06:30:24,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-01 14:30:24
2026-08-01 10:40:58,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-01 18:40:58
2026-08-01 10:41:16,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-01 18:41:16
2026-08-01 15:01:00,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-01 23:01:00
2026-08-01 15:01:19,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-01 23:01:19
2026-08-01 23:58:02,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-02 07:58:02
2026-08-01 23:58:19,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-02 07:58:19
2026-08-02 06:33:37,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-02 14:33:37
2026-08-02 06:33:55,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-02 14:33:55
2026-08-02 10:41:33,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-02 18:41:33
2026-08-02 10:41:51,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-02 18:41:51
2026-08-02 15:02:50,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-02 23:02:50
2026-08-02 15:03:12,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-02 23:03:12
2026-08-02 23:58:57,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-03 07:58:57
2026-08-02 23:59:14,SESSION-RESET-TRIGGER,TOKEN_2,2026-08-03 07:59:14
